EnemyID,Name,HP,HP_Grow,ATK,ATK_Grow,MoveSpeed,AttackRange,AttackDelay,GoldReward,IsBoss,VariationMin,VariationMax
1,Slime,10,1.2,3,0.5,2,1,2,100,FALSE,1,5
2,Mushman,15,1.5,3,0.5,2,1,2,100,FALSE,1,5
3,Larva,30,1.2,3,0.5,2,1,2,100,FALSE,1,5
4,Spider,30,1.3,3,0.5,2,1,2,100,FALSE,1,5
5,Beatle,30,1.5,3,0.5,2,1,2,100,FALSE,1,5
6,Crab,30,1.3,3,0.5,2,1,2,100,FALSE,1,5
7,Fishman,30,1.3,3,0.3,2,1,2,100,FALSE,1,5
8,HermitCrab,30,1.6,3,0.5,2,1,2,100,FALSE,1,5
9,Hog,30,1.8,3,0.8,2,1,2,100,FALSE,1,5
10,Wolf,30,2,3,0.8,2,1,2,100,FALSE,1,5
900,Goblin,100,1,3,2,2,1,2,100,TRUE,1,5
901,Golem,1000,1,3,2,2,1,2,100,TRUE,1,5
902,Ogre,100,1,3,2,2,1,2,100,TRUE,1,5
